simp_word,trad_word,freq,pinyin
有袋类动物,有袋類動物,204,you dai lei dong wu
聚维酮碘溶液,聚維酮碘溶液,204,ju wei tong dian rong ye
台乌药,臺烏藥,204,tai wu yao
旅鸽,旅鴿,203,lv ge
宠物公墓,寵物公墓,203,chong wu gong mu
武安山羊,武安山羊,202,wu an shan yang
禄丰龙,祿豐龍,202,lu feng long
黑胸大蠊,黑胸大蠊,202,hei xiong da lian
纯种德国牧羊犬,純種德國牧羊犬,201,chun zhong de guo mu yang quan
舞毒蛾,舞毒蛾,200,wu du e
仙蝶,仙蝶,200,xian die
摇蚊幼虫,搖蚊幼蟲,200,yao wen you chong
照夜玉狮子,照夜玉獅子,200,zhao ye yu shi zi
毒饵站,毒餌站,197,du er zhan
二溴海因,二溴海因,196,er xiu hai yin
一角鲸,一角鯨,195,yi jiao jing
中杜鹃,中杜鵑,194,zhong du juan
古虫,古蟲,193,gu chong
替卡西林,替卡西林,193,ti ka xi lin
指示犬,指示犬,191,zhi shi quan
箱水母,箱水母,190,xiang shui mu
虐龙,虐龍,190,nve long
显著性影响,顯著性影響,190,xian zhu xing ying xiang
防御行为,防禦行爲,188,fang yu xing wei
凹甲陆龟,凹甲陸龜,187,ao jia lu gui
几维鸟,幾維鳥,187,ji wei niao
粉尘螨,粉塵蟎,186,fen chen man
指示猎犬,指示獵犬,186,zhi shi lie quan
喜马拉雅猫,喜馬拉雅貓,183,xi ma la ya mao
科尔沁牛,科爾沁牛,179,ke er qin niu
切叶蚁,切葉蟻,179,qie ye yi
森林古猿,森林古猿,179,sen lin gu yuan
心要正,心要正,179,xin yao zheng
螠,螠,177,yi
遗欧,遺歐,176,yi ou
地中海实蝇,地中海實蠅,176,di zhong hai shi ying
车轮虫病,車輪蟲病,175,che lun chong bing
借腹怀胎,借腹懷胎,173,jie fu huai tai
潜鸟,潛鳥,173,qian niao
特异性免疫应答,特異性免疫應答,173,te yi xing mian yi ying da
氯化烯,氯化烯,173,lv hua xi
蓝舌病病毒,藍舌病病毒,172,lan she bing bing du
梨小食心虫,梨小食心蟲,172,li xiao shi xin chong
小鸊鷉,小鸊鷉,172,xiao pi ti
石金钱龟,石金錢龜,172,shi jin qian gui
塔里木马鹿,塔里木馬鹿,171,ta li mu ma lu
缅陆,緬陸,171,mian lu
南露脊鲸,南露脊鯨,170,nan lu ji jing
中华曙猿,中華曙猿,169,zhong hua shu yuan
乳酸环丙沙星,乳酸環丙沙星,169,ru suan huan bing sha xing
古杯,古杯,169,gu bei
鮊,鮊,168,ba
蝜蝂,蝜蝂,168,fu ban
硬壳虫,硬殼蟲,167,ying ke chong
赤颈,赤頸,167,chi jing
古盗鸟,古盜鳥,166,gu dao niao
牡丹虾,牡丹蝦,166,mu dan xia
尾芽,尾芽,166,wei ya
习鱼,習魚,164,xi yu
鬐甲,鬐甲,163,qi jia
淡水渔业研究中心,淡水漁業研究中心,163,dan shui yu ye yan jiu zhong xin
海膽,海膽,163,hai dan
昆虫蛋白,昆蟲蛋白,163,kun chong dan bai
金毛羚牛,金毛羚牛,161,jin mao ling niu
玄牡,玄牡,161,xuan mu
泥鸡,泥雞,160,ni ji
安全浓度,安全濃度,159,an quan nong du
四角蛤,四角蛤,159,si jiao ha
实验动物房,實驗動物房,159,shi yan dong wu fang
北极燕鸥,北極燕鷗,158,bei ji yan ou
毛细线虫病,毛細線蟲病,158,mao xi xian chong bing
鳞翅目幼虫,鱗翅目幼蟲,158,lin chi mu you chong
蛋氨酸锌,蛋氨酸鋅,157,dan an suan xin
赴台大熊猫,赴臺大熊貓,157,fu tai da xiong mao
香豆精类,香豆精類,157,xiang dou jing lei
施一公,施一公,156,shi yi gong
爪蛙,爪蛙,154,zhao wa
鸭病毒性肝炎,鴨病毒性肝炎,153,ya bing du xing gan yan
魔鬼蛙,魔鬼蛙,153,mo gui wa
鮣,鮣,153,yin
蒙山全蝎,蒙山全蠍,152,meng shan quan xie
星鼻鼹,星鼻鼴,152,xing bi yan
植物羊,植物羊,151,zhi wu yang
沙钱,沙錢,151,sha qian
漂浮植物,漂浮植物,151,piao fu zhi wu
鹿娃,鹿娃,151,lu wa
锹甲,鍬甲,150,qiao jia
巴厘虎,巴釐虎,150,ba li hu
萨摩狗,薩摩狗,149,sa mo gou
暖水虾,暖水蝦,149,nuan shui xia
漓江啤酒鱼,灕江啤酒魚,148,li jiang pi jiu yu
印度星龟,印度星龜,148,yin du xing gui
美国养犬俱乐部,美國養犬俱樂部,147,mei guo yang quan ju le bu
医学节肢动物,醫學節肢動物,146,yi xue jie zhi dong wu
鲈科,鱸科,146,lu ke
鞋树,鞋樹,145,xie shu
中国荷斯坦奶牛,中國荷斯坦奶牛,145,zhong guo he si tan nai niu
蜇虫,蜇蟲,144,zhe chong
为腧,爲腧,144,wei shu
窃蛋龙类,竊蛋龍類,143,qie dan long lei
新淮猪,新淮豬,142,xin huai zhu
荧光猪,熒光豬,142,ying guang zhu
淇河鲫,淇河鯽,142,qi he ji
大野牛,大野牛,141,da ye niu
炔螨特,炔蟎特,141,gui man te
安达卢西亚马,安達盧西亞馬,140,an da lu xi ya ma
迷你杜宾犬,迷你杜賓犬,140,mi ni du bin quan
鹠,鶹,140,liu
偶鳍,偶鰭,140,ou qi
藏狐,藏狐,140,cang hu
郎德鹅,郎德鵝,139,lang de e
珠海龙,珠海龍,139,zhu hai long
皇家狗粮,皇家狗糧,139,huang jia gou liang
油炸蚂蚱,油炸螞蚱,139,you zha ma zha
灭虫公司,滅蟲公司,139,mie chong gong si
医生鱼,醫生魚,137,yi sheng yu
黄沙水产交易市场,黃沙水產交易市場,136,huang sha shui chan jiao yi shi chang
泉水鱼,泉水魚,135,quan shui yu
鰕虎鱼,鰕虎魚,134,xia hu yu
鼠文化,鼠文化,133,shu wen hua
机械昆虫,機械昆蟲,133,ji xie kun chong
丛猴,叢猴,133,cong hou
滤出液,濾出液,132,lv chu ye
寿光鸡,壽光雞,131,shou guang ji
效应阶段,效應階段,131,xiao ying jie duan
铁苋菜,鐵莧菜,131,tie xian cai
箭毛,箭毛,129,jian mao
米格鲁猎犬,米格魯獵犬,129,mi ge lu lie quan
正虹集团,正虹集團,129,zheng hong ji tuan
医学蠕虫,醫學蠕蟲,128,yi xue ru chong
葎草,葎草,128,lv cao
围栏养殖,圍欄養殖,128,wei lan yang zhi
笑翠鸟,笑翠鳥,127,xiao cui niao
鹦鹉科,鸚鵡科,127,ying wu ke
品控员,品控員,127,pin kong yuan
夏蜡梅,夏蠟梅,126,xia la mei
豌豆蛋白粉,豌豆蛋白粉,126,wan dou dan bai fen
地邦,地邦,126,di bang
加拿大无毛猫,加拿大無毛貓,125,jia na da wu mao mao
农业昆虫学,農業昆蟲學,125,nong ye kun chong xue
药用昆虫,藥用昆蟲,124,yao yong kun chong
东坡墨鱼,東坡墨魚,123,dong po mo yu
卷毛寻回犬,捲毛尋回犬,123,juan mao xun hui quan
中国犀,中國犀,123,zhong guo xi
鸺鹠,鵂鶹,122,xiu liu
信蝶,信蝶,122,xin die
林龟,林龜,121,lin gui
淇河鲫鱼,淇河鯽魚,121,qi he ji yu
印度犀,印度犀,120,yin du xi
柯赫,柯赫,120,ke he
滩头鱼,灘頭魚,120,tan tou yu
薮猫,藪貓,120,sou mao
直接发育,直接發育,120,zhi jie fa yu
粘孢子虫,粘孢子蟲,120,zhan bao zi chong
荒漠猫,荒漠貓,119,huang mo mao
直立猿,直立猿,119,zhi li yuan
海蝎子,海蠍子,118,hai xie zi
蜜蜂科,蜜蜂科,118,mi feng ke
蜂虎,蜂虎,118,feng hu
